"Customweb_OPPCw::* Required Fields","* campo obbligatorio"
"Customweb_OPPCw::Custom Cancel Button","Tasto annulla Personalizzato"
"Customweb_OPPCw::Custom JS Url","JS URL Personalizzato"
"Customweb_OPPCw::Custom Parameters","Custom Parameters"
"Customweb_OPPCw::Custom Pay Button","Pay Button Personalizzato"
"Customweb_OPPCw::Customer Account","Account cliente"
"Customweb_OPPCw::Customer Alias Management","Gestione dell'Alias del cliente"
"Customweb_OPPCw::Customer Date of Birth","Customer Date of Birth"
"Customweb_OPPCw::Customer Gender","Customer Gender"
"Customweb_OPPCw::Customer Phone Number","Customer Phone Number"
"Customweb_OPPCw::Customer successfully returned from OPPCw","Il cliente é tornato con successo da OPPCw."
"Customweb_OPPCw::Customer successfully returned from Open Payment Platform","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customweb_OPPCw::Customer sucessfully returned from the OPPCw payment page.","Customer sucessfully returned from the OPPCw payment page."
"Customweb_OPPCw::Customers","Clienti"
"Customweb_OPPCw::Customweb","Customweb"
"Customweb_OPPCw::Czech Republic","Czech Republic"
"Customweb_OPPCw::Dankort","Dankort"
"Customweb_OPPCw::Date","Data"
"Customweb_OPPCw::Date of Birth","Data di nascita"
"Customweb_OPPCw::Date of birth must be provided.","Date of birth must be provided."
"Customweb_OPPCw::Day","Giorno"
"Customweb_OPPCw::Deactivate","Deactivate"
"Customweb_OPPCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Gentile cliente abbiamo ricevuto le sue informazioni  di  fatturazione e  spedizione. Per concludere il tuo ordine,  vai alla cassa, crea un nuovo accesso o effettua il checkout come ospite."
"Customweb_OPPCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Gentile cliente, il suo pagamento sembra andato a buon fine, tuttavia siamo ancora in attesa di conferma. Può aspettare su questa pagina e la reindirizzeremo dopo che avremo ricevuto la conferma. Oppure può chiudere questa finestra e le invieremo una e-mail di conferma dell'ordine."
"Customweb_OPPCw::Debtor ID","Debtor ID"
"Customweb_OPPCw::Decline Message","Decline Message"
"Customweb_OPPCw::Declined by test data.","Declined by test data."
"Customweb_OPPCw::Default Config","Configurazione predefinita"
"Customweb_OPPCw::Deferred","Ritardato"
"Customweb_OPPCw::Deferred (authorization)","Deferred (authorization)"
"Customweb_OPPCw::Deferred capturing","Registrazione ritardata"
